codice,file,w,h,keep,elementi,item,item_w,item_h,dcol,dedge,ink,item_rot
PB1009IT,PB1009IT__solo.webp,982,971,0.92,4,PB1009IT__item.webp,492,699,0,0,,
PB1010IT,PB1010IT__solo.webp,982,970,0.901,4,PB1010IT__item.webp,492,699,0,0,,
PB1012IT,PB1012IT__solo.webp,982,970,0.925,4,PB1012IT__item.webp,492,699,0,0,,
PB1014IT,PB1014IT__solo.webp,982,970,0.891,4,PB1014IT__item.webp,492,699,0,0,,
PB1015IT,PB1015IT__solo.webp,981,970,0.903,4,PB1015IT__item.webp,492,699,0,0,,
PB1019IT,PB1019IT__solo.webp,1268,1001,0.95,2,PB1019IT__item.webp,562,900,0.13,0.0012,,
PB1021IT,PB1021IT__solo.webp,630,972,0.855,1,PB1021IT__item.webp,583,900,51.41,0.0337,,
PB1022IT,PB1022IT__solo.webp,623,972,0.829,1,PB1022IT__item.webp,576,900,51.41,0.0337,,
PB1023IT,PB1023IT__solo.webp,619,976,0.805,2,PB1023IT__item.webp,570,900,51.41,0.0337,,
PB1024IT,PB1024IT__solo.webp,624,976,0.823,2,PB1024IT__item.webp,575,900,51.41,0.0337,,
PB1025IT,PB1025IT__solo.webp,622,970,0.83,2,PB1025IT__item.webp,577,900,51.41,0.0337,,
PB1026IT,PB1026IT__solo.webp,620,969,0.835,1,PB1026IT__item.webp,575,900,51.41,0.0337,,
PB1027IT,PB1027IT__solo.webp,618,972,0.845,1,PB1027IT__item.webp,572,900,51.41,0.0337,,
PB1028IT,PB1028IT__solo.webp,1120,973,0.889,3,PB1028IT__item.webp,650,900,0.09,0.0005,,
PB1029IT,PB1029IT__solo.webp,1120,973,0.884,3,PB1029IT__item.webp,641,900,0.09,0.0005,,
PB1030IT,PB1030IT__solo.webp,1125,973,0.926,3,PB1030IT__item.webp,651,900,0.11,0,,
PB1031IT,PB1031IT__solo.webp,694,973,0.918,2,PB1031IT__item.webp,641,900,0.11,0,,
PB1032IT,PB1032IT__solo.webp,1213,725,0.862,4,PB1032IT__item.webp,900,660,,,,
PB1033IT,PB1033IT__solo.webp,1218,728,0.864,5,PB1033IT__item.webp,900,659,,,,
PB1034IT,PB1034IT__solo.webp,989,724,0.855,3,PB1034IT__item.webp,900,658,,,,
